2025-12-12 09:37:15,401 | INFO | Connecting → ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 09:37:15,420 | INFO | Websocket connected
2025-12-12 09:37:15,422 | INFO | CONNECTED TO SERVER
2025-12-12 09:42:29,108 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 09:42:29,124 | INFO | Websocket connected
2025-12-12 09:42:29,183 | ERROR | error from callback <bound method Agent.on_open of <core.agent.Agent object at 0x0000024DB3B8A580>>: name 'psutil' is not defined
2025-12-12 09:42:29,184 | ERROR | WS Error: name 'psutil' is not defined
2025-12-12 09:43:20,660 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 09:43:20,668 | INFO | Websocket connected
2025-12-12 09:43:20,668 | INFO | WebSocket connected
2025-12-12 09:43:20,701 | ERROR | error from callback <bound method Agent.on_open of <core.agent.Agent object at 0x0000029B06A2A5E0>>: name 'psutil' is not defined
2025-12-12 09:43:20,701 | ERROR | WS Error: name 'psutil' is not defined
2025-12-12 09:43:51,770 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 09:43:51,780 | INFO | Websocket connected
2025-12-12 09:43:51,780 | INFO | WebSocket connected
2025-12-12 09:47:42,107 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 09:47:42,126 | INFO | Websocket connected
2025-12-12 09:47:42,128 | INFO | WebSocket connected
2025-12-12 09:50:00,398 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 09:50:00,436 | INFO | Websocket connected
2025-12-12 09:50:00,438 | INFO | WebSocket connected
2025-12-12 09:51:28,591 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 09:51:28,625 | INFO | Websocket connected
2025-12-12 09:51:28,629 | INFO | WebSocket connected
2025-12-12 09:54:45,036 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 09:54:45,063 | INFO | Websocket connected
2025-12-12 09:54:45,065 | INFO | WebSocket connected
2025-12-12 09:56:56,993 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 09:56:57,028 | INFO | Websocket connected
2025-12-12 09:56:57,031 | INFO | WebSocket connected
2025-12-12 10:03:01,969 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 10:03:01,976 | INFO | Websocket connected
2025-12-12 10:03:01,978 | INFO | WebSocket connected
2025-12-12 10:05:41,543 | ERROR | WS Error: [WinError 10054] An existing connection was forcibly closed by the remote host
2025-12-12 10:05:41,543 | ERROR | [WinError 10054] An existing connection was forcibly closed by the remote host - goodbye
2025-12-12 10:05:41,544 | WARNING | Disconnected → reconnecting...
2025-12-12 10:05:46,555 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 10:05:46,568 | INFO | Websocket connected
2025-12-12 10:05:46,570 | INFO | WebSocket connected
2025-12-12 10:09:04,641 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 10:09:04,658 | INFO | Websocket connected
2025-12-12 10:09:04,660 | INFO | WebSocket connected
2025-12-12 10:10:30,833 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 10:10:30,852 | INFO | Websocket connected
2025-12-12 10:10:30,855 | INFO | WebSocket connected
2025-12-12 10:20:01,358 | INFO | Connecting agent → ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 10:20:01,378 | INFO | Websocket connected
2025-12-12 10:20:01,381 | INFO | AGENT CONNECTED — SENDING FRAMES
2025-12-12 10:20:01,381 | ERROR | error from callback <bound method Agent.on_open of <core.agent.Agent object at 0x000002071051BF70>>: wrapped C/C++ object of type StaticText has been deleted
2025-12-12 10:20:01,381 | ERROR | WebSocket error: wrapped C/C++ object of type StaticText has been deleted
2025-12-12 10:20:40,305 | INFO | Connecting agent → ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 10:20:40,313 | INFO | Websocket connected
2025-12-12 10:20:40,314 | INFO | AGENT CONNECTED — STARTING STREAM
2025-12-12 10:24:47,937 | INFO | Connecting agent → ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 10:24:47,945 | INFO | Websocket connected
2025-12-12 10:24:47,945 | INFO | AGENT CONNECTED — STARTING STREAM
2025-12-12 10:25:00,130 | INFO | Connecting agent → ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 10:25:00,136 | INFO | Websocket connected
2025-12-12 10:25:00,137 | INFO | AGENT CONNECTED — SENDING FRAMES
2025-12-12 10:25:00,137 | ERROR | error from callback <bound method Agent.on_open of <core.agent.Agent object at 0x0000018742B8BF70>>: wrapped C/C++ object of type StaticText has been deleted
2025-12-12 10:25:00,137 | ERROR | WebSocket error: wrapped C/C++ object of type StaticText has been deleted
2025-12-12 10:25:05,489 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 10:25:05,510 | INFO | Websocket connected
2025-12-12 10:25:05,511 | INFO | WebSocket connected
2025-12-12 10:27:13,680 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 10:27:13,694 | INFO | Websocket connected
2025-12-12 10:27:13,696 | INFO | WebSocket connected
2025-12-12 10:28:02,186 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 10:28:02,196 | INFO | Websocket connected
2025-12-12 10:28:02,199 | INFO | WebSocket connected
2025-12-12 10:35:35,576 | ERROR | WS Error: [WinError 10054] An existing connection was forcibly closed by the remote host
2025-12-12 10:35:35,584 | ERROR | [WinError 10054] An existing connection was forcibly closed by the remote host - goodbye
2025-12-12 10:35:35,584 | WARNING | Disconnected → reconnecting...
2025-12-12 10:35:40,797 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 10:35:40,798 | INFO | Websocket connected
2025-12-12 10:35:40,798 | INFO | WebSocket connected
2025-12-12 10:36:34,545 | ERROR | WS Error: [WinError 10054] An existing connection was forcibly closed by the remote host
2025-12-12 10:36:34,546 | ERROR | [WinError 10054] An existing connection was forcibly closed by the remote host - goodbye
2025-12-12 10:36:34,547 | WARNING | Disconnected → reconnecting...
2025-12-12 10:36:39,579 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 10:36:43,645 | ERROR | WS Error: [WinError 10061] No connection could be made because the target machine actively refused it
2025-12-12 10:36:43,646 | ERROR | [WinError 10061] No connection could be made because the target machine actively refused it - goodbye
2025-12-12 10:36:43,646 | WARNING | Disconnected → reconnecting...
2025-12-12 10:36:48,661 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 10:36:52,744 | ERROR | WS Error: [WinError 10061] No connection could be made because the target machine actively refused it
2025-12-12 10:36:52,745 | ERROR | [WinError 10061] No connection could be made because the target machine actively refused it - goodbye
2025-12-12 10:36:52,745 | WARNING | Disconnected → reconnecting...
2025-12-12 10:36:57,760 | INFO | Connecting to ws://localhost:5500/ws/agent?secret_key=sk_work-desktop_2schg2wgv
2025-12-12 10:36:59,316 | INFO | Websocket connected
2025-12-12 10:36:59,318 | INFO | WebSocket connected
2025-12-12 10:37:06,725 | ERROR | WS Error: [WinError 10054] An existing connection was forcibly closed by the remote host
